Frame ID,QR id,QR 2D,QR 3D
46,17,"(105, 71),(177, 60),(200, 120),(126, 144)","dist: 2.602136534490112, yaw: 165.9128630651645, pitch: -15.365693268807947, roll: -16.185968815286294"
47,15,"(443, 80),(534, 85),(529, 176),(440, 172)","dist: 2.1281168794561776, yaw: -179.6883505005208, pitch: -5.499291387407582, roll: 2.311459398850773"
47,17,"(102, 72),(183, 64),(199, 119),(125, 144)","dist: 2.489994587674976, yaw: 156.17987187037997, pitch: -13.339419766984893, roll: -14.346333074427395"
48,15,"(444, 79),(535, 83),(531, 174),(442, 171)","dist: 2.129973171224029, yaw: -179.687905370867, pitch: -5.496433470071419, roll: 1.6815142063146047"
48,17,"(102, 73),(180, 62),(200, 118),(124, 144)","dist: 2.486097596635395, yaw: 156.5360032959474, pitch: -12.59424892596077, roll: -15.788360512683655"
49,15,"(446, 76),(536, 80),(532, 172),(443, 169)","dist: 2.11549209683718, yaw: -178.14097710657634, pitch: -7.904657051754075, roll: 1.4365178733419217"
49,17,"(103, 71),(181, 60),(200, 117),(128, 144)","dist: 2.543456629541451, yaw: 161.47068652313476, pitch: -13.359085935692054, roll: -16.55937213203574"
50,15,"(447, 76),(537, 81),(533, 172),(444, 169)","dist: 2.121028070917312, yaw: -179.3478413193424, pitch: -7.56615737239537, roll: 1.8044527140013296"
50,17,"(104, 71),(182, 60),(201, 117),(127, 143)","dist: 2.5178712792490328, yaw: 159.15068106788326, pitch: -12.45727770673119, roll: -15.902255998510405"
51,15,"(446, 74),(537, 78),(533, 170),(443, 166)","dist: 2.1211955933513345, yaw: 179.95053125060136, pitch: -5.106727625368973, roll: 2.039679139578446"
52,15,"(445, 76),(535, 80),(532, 172),(442, 169)","dist: 2.1103186950515016, yaw: -179.6007465538184, pitch: -7.287760812299055, roll: 1.5371668788108686"
52,17,"(102, 71),(179, 61),(197, 120),(124, 143)","dist: 2.5657201513102548, yaw: 161.9239469188058, pitch: -13.74472396832434, roll: -14.83109071845328"
53,15,"(443, 75),(533, 79),(529, 171),(439, 167)","dist: 2.124434421196235, yaw: -178.98753372938992, pitch: -5.721139534939778, roll: 2.0290149352970843"
54,15,"(440, 73),(530, 77),(527, 169),(437, 166)","dist: 2.10983644996638, yaw: -179.51845802206387, pitch: -7.292175405446815, roll: 1.5158395081338552"
54,17,"(95, 69),(173, 59),(192, 118),(118, 141)","dist: 2.5337485050073107, yaw: 160.93950054796272, pitch: -15.172218594130998, roll: -15.020003613592927"
55,15,"(438, 72),(529, 76),(525, 168),(435, 164)","dist: 2.119166155480059, yaw: -179.96166369860126, pitch: -5.099156151809598, roll: 2.0249036529591518"
56,15,"(437, 69),(528, 73),(525, 165),(435, 162)","dist: 2.105608239846215, yaw: 179.5499060076136, pitch: -6.728490328667248, roll: 1.5073488959509629"
57,15,"(438, 67),(530, 71),(527, 163),(436, 160)","dist: 2.1013530979388326, yaw: 178.64213615815825, pitch: -4.968616034682691, roll: 1.7102095980576184"
58,15,"(437, 65),(529, 69),(526, 161),(435, 159)","dist: 2.0964253023399007, yaw: -179.92543950270007, pitch: -5.682229295335371, roll: 1.3241091308352013"
59,15,"(433, 64),(526, 67),(524, 159),(432, 157)","dist: 2.093756793030499, yaw: 177.5060255506929, pitch: -3.3115379291416187, roll: 1.2866107361120216"
59,17,"(83, 62),(157, 47),(183, 108),(104, 133)","dist: 2.500736019108667, yaw: 161.1174930974931, pitch: -13.25115796830621, roll: -17.416464565644453"
60,15,"(435, 64),(527, 67),(525, 160),(433, 158)","dist: 2.086051813506099, yaw: 179.7558661959536, pitch: -5.340553217893578, roll: 1.0682533342211098"
61,15,"(434, 64),(526, 68),(525, 161),(432, 159)","dist: 2.0633682874637524, yaw: 177.7783537940353, pitch: -6.516416145504658, roll: 1.2548510313278172"
62,15,"(432, 65),(525, 68),(523, 164),(429, 162)","dist: 2.0277071821345056, yaw: -178.4788045565092, pitch: -7.622058819620675, roll: 0.796036694439835"
63,15,"(428, 72),(522, 76),(520, 172),(425, 169)","dist: 2.012908493961783, yaw: 179.00128731510276, pitch: -6.642820785199291, roll: 1.524677549710727"
63,17,"(73, 80),(151, 62),(177, 123),(99, 151)","dist: 2.4368651713014007, yaw: 159.86925045371575, pitch: -13.706993074056596, roll: -19.145432329099187"
64,15,"(417, 78),(513, 79),(513, 177),(417, 176)","dist: 1.9806790826698342, yaw: 179.3853070215153, pitch: -6.37385473624237, roll: 0.01202886097922981"
65,15,"(429, 83),(529, 82),(531, 180),(432, 182)","dist: 1.9546466358558967, yaw: 176.4250589885893, pitch: -1.7111044904115176, roll: -0.9035442941745826"
66,15,"(453, 83),(555, 81),(557, 184),(455, 186)","dist: 1.8981183270980033, yaw: -179.9348559289589, pitch: -3.6340817571653417, roll: -1.3131235049431533"
67,15,"(464, 84),(568, 84),(568, 190),(464, 189)","dist: 1.8568070487803547, yaw: 179.47861874366026, pitch: -4.475572981079571, roll: -0.024450334419652196"
68,15,"(472, 87),(578, 88),(576, 194),(471, 194)","dist: 1.8451811718968283, yaw: -178.00053821202368, pitch: -3.4852130437018323, roll: 0.10018723195568309"
68,17,"(132, 105),(215, 89),(236, 150),(156, 179)","dist: 2.3026875334942676, yaw: 154.8961996134241, pitch: -9.3288728240796, roll: -16.729974611592624"
69,15,"(468, 94),(576, 96),(575, 204),(467, 203)","dist: 1.7993176638916382, yaw: 178.82067173062882, pitch: -3.4932739372035813, roll: 0.6529943150444913"
70,15,"(466, 99),(576, 101),(574, 210),(465, 209)","dist: 1.7831563558140067, yaw: 179.74742542716714, pitch: -2.348266108704206, roll: 0.7118585659656693"
71,15,"(463, 101),(574, 102),(573, 214),(462, 214)","dist: 1.7386801817844562, yaw: -178.97529637701018, pitch: -4.571826865788903, roll: 0.051416872608311764"
72,15,"(464, 102),(578, 103),(576, 217),(463, 217)","dist: 1.7096515950518523, yaw: -178.01315199345194, pitch: -3.5756296934124876, roll: 0.09577636614445294"
