Frame ID,QR id,QR 2D,QR 3D
114,1,"(163, 173),(337, 190),(319, 358),(146, 345)","dist: 1.1025481312377272, yaw: -172.88881794392793, pitch: -7.710933721268269, roll: 5.328146065532297"
115,1,"(157, 175),(331, 194),(310, 365),(137, 348)","dist: 1.100820520997665, yaw: -176.7504988270131, pitch: -5.904671236701817, roll: 6.44222699482198"
116,1,"(157, 175),(331, 194),(310, 365),(137, 348)","dist: 1.100820520997665, yaw: -176.7504988270131, pitch: -5.904671236701817, roll: 6.44222699482198"
118,1,"(145, 178),(323, 199),(302, 375),(125, 358)","dist: 1.0734590416013894, yaw: -178.97252432370118, pitch: -6.972208786508376, roll: 6.489950874868009"
119,1,"(137, 180),(319, 199),(295, 380),(119, 360)","dist: 1.0561684019958546, yaw: -177.95074647890198, pitch: 3.084417175327439, roll: 6.505168160887709"
122,1,"(131, 184),(309, 205),(288, 380),(116, 360)","dist: 1.0798192317063784, yaw: -173.89466141114022, pitch: 3.005186896408452, roll: 6.666212023507927"
123,1,"(127, 186),(305, 204),(287, 380),(113, 359)","dist: 1.0787128107505852, yaw: -172.7958595458494, pitch: 3.5134753895580797, roll: 6.294863744518027"
124,1,"(125, 186),(304, 203),(287, 379),(112, 360)","dist: 1.076705241531478, yaw: -172.77470110328892, pitch: 2.3975638257879504, roll: 5.835347380939845"
125,1,"(124, 184),(306, 204),(284, 381),(112, 360)","dist: 1.0664915353362585, yaw: -171.4270312503316, pitch: 3.628769495004391, roll: 6.695038138263887"
126,1,"(123, 186),(305, 202),(283, 380),(111, 360)","dist: 1.0728274009469998, yaw: -172.82411236496162, pitch: 2.6913327122772266, roll: 6.1504942296024145"
127,1,"(125, 187),(302, 203),(282, 381),(111, 360)","dist: 1.0820429220316128, yaw: -175.87567068998897, pitch: 5.979313246998081, roll: 6.080570446519974"
128,1,"(125, 187),(305, 205),(283, 380),(111, 361)","dist: 1.083130673236703, yaw: -173.06874743599417, pitch: 0.4572970742579696, roll: 6.3352784521584296"
129,1,"(123, 188),(300, 203),(284, 379),(111, 361)","dist: 1.085760549955035, yaw: -174.35048085194887, pitch: 3.7327124051563, roll: 5.386568714210254"
130,1,"(121, 186),(310, 197),(284, 379),(113, 364)","dist: 1.0568250029158743, yaw: -171.88188226879242, pitch: -2.142951205344842, roll: 5.092219834024133"
131,1,"(122, 184),(309, 206),(285, 376),(109, 361)","dist: 1.0573552375627997, yaw: -165.9171204333114, pitch: -6.076395535870021, roll: 6.1295565060773995"
132,1,"(124, 184),(302, 199),(288, 373),(110, 357)","dist: 1.0846593594147338, yaw: -173.5700164472569, pitch: -1.0935467181421754, roll: 5.117350918068271"
133,1,"(124, 181),(302, 197),(286, 371),(110, 357)","dist: 1.0871368102357097, yaw: -175.89099485546555, pitch: -2.6233178295886597, roll: 5.065535864516908"
134,1,"(124, 177),(298, 188),(286, 364),(110, 351)","dist: 1.0926743932827325, yaw: 177.43878817447367, pitch: 2.3965135811655136, roll: 3.8420024892151234"
135,1,"(131, 154),(298, 159),(288, 326),(114, 317)","dist: 1.119963631729143, yaw: 165.23469548833702, pitch: 3.044303260570619, roll: 2.2691000956998595"
136,1,"(133, 145),(296, 149),(288, 311),(114, 309)","dist: 1.1220767864941215, yaw: 162.80625232198534, pitch: 4.979517931468834, roll: 1.1233188432570895"
137,1,"(132, 136),(295, 139),(286, 302),(118, 300)","dist: 1.1398924853250185, yaw: 167.39779649577798, pitch: 6.089447473610242, roll: 1.092377030468448"
138,1,"(131, 127),(291, 129),(284, 292),(114, 286)","dist: 1.146543013648824, yaw: 165.78022236945162, pitch: 5.347235803089652, roll: 1.3842987200829242"
139,1,"(129, 118),(288, 123),(276, 284),(112, 273)","dist: 1.1751863908506677, yaw: 168.26739011546036, pitch: 5.2752711854713805, roll: 2.865614085984001"
140,1,"(127, 110),(284, 112),(282, 272),(112, 268)","dist: 1.165018486337245, yaw: 166.3912150148253, pitch: 2.745411239874573, roll: 0.9559635072541652"
142,1,"(122, 92),(279, 90),(271, 249),(106, 244)","dist: 1.1735219266468633, yaw: 165.1026143969555, pitch: 7.004641944252887, roll: 0.8090768850164731"
143,1,"(120, 84),(273, 85),(274, 237),(107, 234)","dist: 1.203908877324642, yaw: 163.88865681269476, pitch: -0.1807832871019029, roll: 0.45786933289521353"
144,1,"(118, 74),(272, 78),(266, 230),(104, 226)","dist: 1.214786870433466, yaw: 166.9964273360708, pitch: 2.4923826766603976, roll: 1.5287480758429528"
145,1,"(110, 42),(261, 48),(257, 195),(103, 192)","dist: 1.2794354150474974, yaw: 172.76964409727492, pitch: -1.8026477725624404, roll: 1.3988534482166268"
157,1,"(42, 48),(204, 38),(209, 211),(43, 217)","dist: 1.14025083966396, yaw: 176.94231389785136, pitch: 10.248331583385877, roll: -1.8425037844393737"
158,1,"(39, 59),(204, 47),(207, 224),(32, 234)","dist: 1.086901588176986, yaw: 170.86843608515312, pitch: 11.419770297683343, roll: -2.709587216572496"
160,1,"(30, 84),(199, 80),(200, 254),(22, 262)","dist: 1.0935002492360677, yaw: 171.28459543497115, pitch: 6.947735151376406, roll: -1.6020099233038774"
162,1,"(20, 110),(194, 103),(197, 277),(18, 289)","dist: 1.090254813465518, yaw: 171.02374181161883, pitch: 4.440259962764185, roll: -2.8151887925541432"
163,1,"(15, 121),(191, 117),(193, 291),(17, 299)","dist: 1.1085063703375, yaw: 176.00393646753463, pitch: 1.964500850293589, roll: -1.7653888005009681"
164,1,"(11, 131),(189, 126),(190, 302),(15, 307)","dist: 1.1093202151918697, yaw: 178.36390324374779, pitch: 2.063918957587198, roll: -1.3979326698873047"
165,1,"(7, 139),(187, 135),(189, 309),(12, 316)","dist: 1.1143570603633741, yaw: 179.04265139638179, pitch: -2.191899217695642, roll: -1.5680053256927298"
166,1,"(3, 147),(179, 138),(185, 318),(7, 321)","dist: 1.101409562004537, yaw: 178.50370106536104, pitch: 3.9997108624029236, roll: -1.9684170070150848"
178,1,"(23, 176),(211, 177),(220, 342),(36, 351)","dist: 1.0736020029429296, yaw: -161.34602115391218, pitch: -5.320312772028472, roll: -1.3596395239322336"
182,1,"(90, 177),(291, 180),(288, 354),(101, 357)","dist: 1.0008958478600924, yaw: -158.54243406930564, pitch: -4.013349744650582, roll: 0.07139153737498792"
184,1,"(118, 179),(313, 182),(310, 356),(128, 359)","dist: 1.0210772969718562, yaw: -161.8359495007094, pitch: -2.771185707320713, roll: 0.0016005664739610083"
185,1,"(132, 176),(320, 178),(318, 356),(140, 359)","dist: 1.044056093071418, yaw: -169.67294500750128, pitch: -1.7850152264455206, roll: -0.20640448013546012"
186,1,"(138, 181),(328, 178),(330, 352),(152, 361)","dist: 1.0398920522052384, yaw: -165.17841553173082, pitch: -2.9667152939325723, roll: -1.9359262191826707"
187,1,"(148, 176),(335, 178),(337, 350),(158, 359)","dist: 1.0470104751932827, yaw: -167.7804099024837, pitch: -4.285590037480391, roll: -1.4345912752035384"
188,1,"(156, 178),(344, 178),(342, 354),(162, 356)","dist: 1.040999009861834, yaw: -166.14942846193892, pitch: -2.307034374641577, roll: -0.24351354737661352"
189,1,"(164, 179),(346, 177),(344, 352),(168, 354)","dist: 1.0689183736230659, yaw: -169.69717875459656, pitch: -3.187680036598359, roll: -0.4026839139034268"
190,1,"(170, 175),(348, 170),(350, 349),(176, 353)","dist: 1.0714897685975289, yaw: -178.15574026627303, pitch: 4.570154237754173, roll: -1.2894202506920653"
191,1,"(178, 170),(356, 173),(362, 339),(182, 349)","dist: 1.0704126465933888, yaw: 166.69987752500714, pitch: -8.650785651790548, roll: -0.6712845745592477"
192,1,"(184, 170),(362, 171),(365, 338),(190, 347)","dist: 1.0847556018106226, yaw: -170.81462498093882, pitch: -6.019125888516197, roll: -1.6142616209831557"
193,1,"(192, 166),(368, 168),(370, 337),(196, 344)","dist: 1.0892145645625335, yaw: -177.83680521301793, pitch: -8.845557063694407, roll: -0.972566854640857"
194,1,"(198, 165),(374, 166),(376, 335),(200, 339)","dist: 1.090684932738354, yaw: -172.38528117413875, pitch: -3.442889136109773, roll: -0.6539996652443475"
195,1,"(206, 163),(382, 167),(378, 336),(210, 338)","dist: 1.1004618126188765, yaw: -172.50774504954782, pitch: -5.035992439648898, roll: -0.0386254243256988"
196,1,"(210, 163),(386, 163),(384, 334),(216, 336)","dist: 1.1001323706693282, yaw: -171.62934108048262, pitch: -0.5665589620111606, roll: -0.44857873495366496"
197,1,"(220, 158),(394, 163),(396, 328),(222, 331)","dist: 1.0970369718888529, yaw: 168.90389621268278, pitch: -6.811675240081891, roll: 0.42826788082813133"
198,1,"(230, 155),(403, 163),(401, 330),(228, 327)","dist: 1.1009923461743196, yaw: 170.58426548815845, pitch: -6.288460532741673, roll: 1.7548972530604758"
199,1,"(240, 155),(414, 162),(406, 327),(240, 330)","dist: 1.1046869805864308, yaw: -171.43005082837493, pitch: -9.352912600754106, roll: 0.3041792800030936"
200,1,"(252, 152),(420, 164),(414, 327),(251, 325)","dist: 1.1256353748917185, yaw: 177.52061189399788, pitch: -12.196826691162048, roll: 2.0789573371636134"
201,1,"(258, 154),(428, 164),(423, 327),(261, 326)","dist: 1.1288236900066644, yaw: 177.8399216203519, pitch: -10.620576807783424, roll: 1.3348976809045825"
