Frame ID,QR id,QR 2D,QR 3D
169,1,"(282, 218),(455, 219),(457, 401),(278, 391)","dist: 1.0746772907714368, yaw: 179.02901571082845, pitch: 12.812622368979802, roll: 0.5293271157849688"
170,1,"(270, 209),(456, 209),(456, 403),(266, 392)","dist: 1.0090327458591488, yaw: 179.37632351020588, pitch: 11.852402912791819, roll: 0.7133057989068501"
171,1,"(270, 209),(456, 209),(456, 403),(266, 392)","dist: 1.0090327458591488, yaw: 179.37632351020588, pitch: 11.852402912791819, roll: 0.7133057989068501"
172,1,"(257, 199),(456, 197),(458, 409),(254, 399)","dist: 0.9279957693152967, yaw: 178.31479744850978, pitch: 14.459584225422656, roll: 0.0006019643088748308"
201,1,"(335, 209),(551, 203),(550, 418),(337, 411)","dist: 0.9095322214440577, yaw: -173.5319830038664, pitch: 8.818797740868078, roll: -0.21259702095965877"
203,1,"(352, 203),(551, 198),(551, 401),(352, 392)","dist: 0.9784169162078546, yaw: -179.79798900274105, pitch: 13.972260105198849, roll: -0.09706149412003337"
204,1,"(358, 203),(552, 197),(552, 392),(359, 383)","dist: 1.0111388360667672, yaw: -174.26222501100628, pitch: 12.535225784037065, roll: 0.05512789720889431"
205,1,"(365, 201),(552, 195),(552, 384),(366, 376)","dist: 1.0482474872024927, yaw: -176.7181845946602, pitch: 13.519568613722072, roll: -0.0865996378061978"
206,1,"(371, 201),(552, 196),(551, 377),(371, 371)","dist: 1.0862827091522098, yaw: -175.30661534001152, pitch: 10.359265584658297, roll: 0.01805775939472219"
207,1,"(377, 200),(550, 195),(550, 372),(375, 365)","dist: 1.1194966809518554, yaw: 173.16897739969122, pitch: 15.684114742834101, roll: -0.451343253553202"
208,1,"(383, 200),(551, 196),(552, 366),(382, 361)","dist: 1.1585567802890706, yaw: 173.48759894547655, pitch: 13.450566461541916, roll: -0.477483373866119"
209,1,"(388, 201),(555, 195),(555, 361),(389, 355)","dist: 1.1817188770380351, yaw: -171.8277899427507, pitch: 11.348647210981037, roll: -0.11688345182067586"
210,1,"(397, 199),(561, 193),(561, 355),(400, 350)","dist: 1.210616198677237, yaw: -171.0689044478771, pitch: 12.030940362710519, roll: -0.3394254491309609"
211,1,"(411, 195),(571, 188),(571, 349),(406, 347)","dist: 1.200932045633533, yaw: 164.15835559862685, pitch: 18.626565085232773, roll: -1.5792732811639905"
212,1,"(411, 195),(571, 188),(571, 349),(406, 347)","dist: 1.200932045633533, yaw: 164.15835559862685, pitch: 18.626565085232773, roll: -1.5792732811639905"
213,1,"(425, 191),(586, 183),(587, 341),(430, 337)","dist: 1.249418152666753, yaw: -169.72860656672515, pitch: 13.8785393635678, roll: -0.797116164958364"
