Frame,Marker ID,2D Coordinates,Distance,Yaw,Pitch,Roll
172,1,"[[[50.0, 72.0], [88.0, 70.0], [93.0, 111.0], [55.0, 114.0]]]",3.5995053358061186,-145.33384852406638,-47.26174857796951,-23.98724798065897
173,1,"[[[50.0, 72.0], [88.0, 70.0], [93.0, 111.0], [55.0, 114.0]]]",3.5995053358061186,-145.33384852406638,-47.26174857796951,-23.98724798065897
174,1,"[[[44.0, 93.0], [83.0, 91.0], [88.0, 132.0], [50.0, 135.0]]]",3.5774615691699427,-149.12654569574966,-47.46373646414014,-22.54352669363174
175,1,"[[[43.0, 105.0], [82.0, 102.0], [86.0, 142.0], [47.0, 144.0]]]",3.6949172393040883,-175.8593235305456,2.14122537627109,-3.5042168421086703
176,1,"[[[4.0, 113.0], [47.0, 108.0], [52.0, 149.0], [9.0, 154.0]]]",3.482592996534764,176.96809857496808,-1.453798260571655,-7.631444477639781
177,1,"[[[3.0, 120.0], [46.0, 116.0], [54.0, 158.0], [10.0, 161.0]]]",3.5733259304863356,-171.75721151443386,-7.022015123562766,-7.10593034595721
178,1,"[[[3.0, 120.0], [46.0, 116.0], [54.0, 158.0], [10.0, 161.0]]]",3.5733259304863356,-171.75721151443386,-7.022015123562766,-7.10593034595721
184,1,"[[[38.0, 148.0], [78.0, 144.0], [85.0, 187.0], [45.0, 191.0]]]",3.3721850263766617,-171.0508629527077,8.05305369311025,-4.073433147762683
185,1,"[[[37.0, 167.0], [84.0, 165.0], [87.0, 210.0], [40.0, 212.0]]]",3.159347047125589,-179.6393935396439,-3.894927116626183,-3.4355560704290573
186,1,"[[[41.0, 170.0], [88.0, 168.0], [91.0, 214.0], [44.0, 216.0]]]",3.095767978035549,-178.4243395601696,-1.167736096509161,-2.8771625987704916
187,1,"[[[48.0, 179.0], [95.0, 177.0], [97.0, 223.0], [49.0, 226.0]]]",3.004491128420937,176.67213386665148,0.6964933679263886,-3.085105771092127
188,1,"[[[49.0, 182.0], [98.0, 179.0], [100.0, 225.0], [51.0, 228.0]]]",2.9922602098307385,174.1124435985585,-3.6006064472038988,-4.364223642542726
189,1,"[[[55.0, 182.0], [103.0, 180.0], [105.0, 227.0], [57.0, 229.0]]]",2.986826668695433,179.15593530783391,-0.36656777577712574,-2.6120977750316787
190,1,"[[[57.0, 182.0], [106.0, 180.0], [108.0, 228.0], [59.0, 230.0]]]",2.9218598376542317,179.1807589025654,-0.3509370147961746,-2.554981186963344
191,1,"[[[59.0, 182.0], [109.0, 181.0], [110.0, 228.0], [60.0, 231.0]]]",2.882056650602163,-152.61044956506643,-40.630081538045,-11.078026861629647
192,1,"[[[59.0, 182.0], [109.0, 181.0], [109.0, 230.0], [59.0, 232.0]]]",2.808361163994636,176.4743006366269,2.166992204389624,-1.4717384604950006
193,1,"[[[60.0, 183.0], [111.0, 183.0], [111.0, 232.0], [60.0, 233.0]]]",2.8179782661255435,177.57199354285356,-1.126719815802394,-0.844076890900173
194,1,"[[[65.0, 185.0], [116.0, 184.0], [117.0, 233.0], [65.0, 234.0]]]",2.821386900104717,175.9494753464072,-3.381666449346619,-1.8136580754813396
195,1,"[[[71.0, 185.0], [122.0, 185.0], [121.0, 235.0], [70.0, 235.0]]]",2.771362411606141,177.0242645712169,0.6132888239129007,0.005264263641538093
196,1,"[[[76.0, 185.0], [128.0, 185.0], [127.0, 235.0], [76.0, 236.0]]]",2.7390025055824623,-155.94481023607318,-41.46116880254472,-8.664709691029913
197,1,"[[[82.0, 184.0], [134.0, 183.0], [133.0, 234.0], [82.0, 235.0]]]",2.7004890363944623,176.62649276756974,2.1876099751643934,-0.8187103511210008
198,1,"[[[84.0, 182.0], [136.0, 182.0], [136.0, 233.0], [84.0, 234.0]]]",2.6935648949150344,178.66148912715826,0.99174991419483,-0.46497588018692604
199,1,"[[[86.0, 182.0], [139.0, 181.0], [139.0, 233.0], [86.0, 234.0]]]",2.648505117473307,177.0271516987218,0.5908399941124355,-1.0738104853598267
200,1,"[[[90.0, 182.0], [144.0, 183.0], [143.0, 235.0], [89.0, 235.0]]]",2.6259359617677216,177.57111043430604,-1.356701652971933,0.2779873129955425
201,1,"[[[96.0, 183.0], [150.0, 183.0], [150.0, 235.0], [96.0, 236.0]]]",2.618663805231686,177.487841994639,-1.4184487741745715,-0.8078823171731329
202,1,"[[[103.0, 184.0], [157.0, 184.0], [157.0, 237.0], [102.0, 237.0]]]",2.5851992249626794,177.2767308099,-1.2865190467915921,-0.28937322974444324
203,1,"[[[109.0, 184.0], [164.0, 183.0], [163.0, 237.0], [109.0, 237.0]]]",2.551211049857898,177.17421226267186,0.6559972010202277,-0.4632741752708089
204,1,"[[[118.0, 184.0], [174.0, 183.0], [174.0, 236.0], [118.0, 237.0]]]",2.530677950749514,173.72555029669502,-3.752160928756024,-1.6793565024891717
205,1,"[[[128.0, 184.0], [183.0, 184.0], [183.0, 238.0], [128.0, 238.0]]]",2.530305211855164,179.2731807958404,-0.9477077534217967,-0.18616607704167026
206,1,"[[[134.0, 185.0], [188.0, 184.0], [190.0, 239.0], [134.0, 240.0]]]",2.4855981581662863,-179.97931662072995,1.590703651828195,-0.913610184629725
207,1,"[[[141.0, 186.0], [197.0, 185.0], [198.0, 239.0], [141.0, 241.0]]]",2.4586341446896,174.99293511671598,-1.9761418026534499,-1.884346690090198
208,1,"[[[150.0, 185.0], [206.0, 184.0], [208.0, 239.0], [150.0, 240.0]]]",2.446736445335735,176.76410066609424,-3.6549876170625906,-1.694083947636602
209,1,"[[[160.0, 186.0], [216.0, 184.0], [219.0, 239.0], [161.0, 241.0]]]",2.435060873784192,176.54596026721262,-3.7231843048712023,-2.729521362241891
210,1,"[[[169.0, 186.0], [225.0, 184.0], [227.0, 239.0], [170.0, 242.0]]]",2.406121738263899,176.36032917134037,0.23642236515692092,-2.543233047864168
211,1,"[[[176.0, 187.0], [232.0, 184.0], [234.0, 240.0], [177.0, 242.0]]]",2.398035275520367,176.3241816795989,0.7096024351763226,-2.510935653864421
212,1,"[[[184.0, 187.0], [240.0, 185.0], [242.0, 242.0], [185.0, 244.0]]]",2.3576794051008667,179.6465509028037,3.3945610246461873,-1.5584180968713448
213,1,"[[[192.0, 187.0], [249.0, 185.0], [252.0, 241.0], [193.0, 244.0]]]",2.3453314297053773,176.02872445376005,-1.840285344332222,-2.835098696384905
214,1,"[[[200.0, 187.0], [257.0, 184.0], [260.0, 242.0], [202.0, 244.0]]]",2.327821010652911,-179.6805382917032,1.8053361695000254,-2.302198143266176
215,1,"[[[207.0, 187.0], [265.0, 184.0], [267.0, 242.0], [210.0, 245.0]]]",2.302948068783001,-179.78392118321094,3.5038723618353504,-2.414188587516476
216,1,"[[[212.0, 188.0], [270.0, 186.0], [272.0, 245.0], [214.0, 247.0]]]",2.2711899889392866,-178.1250965976993,4.284422338116322,-1.340489841680591
217,1,"[[[216.0, 191.0], [274.0, 188.0], [277.0, 247.0], [217.0, 250.0]]]",2.242462565938338,177.49344550971767,2.978394988084197,-2.5479739012462703
218,1,"[[[221.0, 192.0], [280.0, 190.0], [282.0, 250.0], [222.0, 252.0]]]",2.2166578306094853,179.70196311369946,3.544907200806435,-1.4586586852118257
219,1,"[[[226.0, 193.0], [286.0, 191.0], [288.0, 252.0], [228.0, 254.0]]]",2.187084734386153,-178.0748392043513,4.348862748876566,-1.293218703285553
220,1,"[[[233.0, 194.0], [294.0, 192.0], [296.0, 252.0], [235.0, 255.0]]]",2.182843574768857,178.40740040055968,0.5849904554995538,-2.2515476632996463
221,1,"[[[239.0, 195.0], [300.0, 193.0], [302.0, 254.0], [241.0, 256.0]]]",2.1738984097696092,-179.27273189718804,1.4953828731692582,-1.6874548728522865
222,1,"[[[243.0, 198.0], [304.0, 195.0], [306.0, 258.0], [244.0, 259.0]]]",2.1294539065967983,179.74234137812005,4.330818677756869,-1.3561840408871662
223,1,"[[[246.0, 200.0], [308.0, 198.0], [309.0, 260.0], [247.0, 262.0]]]",2.1198848206028873,177.979776836774,3.14517152914194,-1.4241102078792076
224,1,"[[[246.0, 200.0], [308.0, 198.0], [309.0, 260.0], [247.0, 262.0]]]",2.1198848206028873,177.979776836774,3.14517152914194,-1.4241102078792076
225,1,"[[[250.0, 199.0], [313.0, 197.0], [314.0, 260.0], [250.0, 262.0]]]",2.070123576855205,175.74766894305455,2.8688528414557357,-1.4504168660458168
226,1,"[[[259.0, 196.0], [322.0, 194.0], [323.0, 259.0], [259.0, 260.0]]]",2.039932962814957,179.24150981443964,5.983331245563107,-0.5933200920292474
227,1,"[[[261.0, 195.0], [326.0, 194.0], [326.0, 259.0], [262.0, 260.0]]]",2.0293175679572153,-179.4335779864168,3.7447726383733144,-0.33747935971957055
228,1,"[[[264.0, 193.0], [329.0, 193.0], [328.0, 259.0], [262.0, 258.0]]]",1.9990089408763327,177.8569592190552,3.5983443058705396,0.8537306560914508
229,1,"[[[265.0, 193.0], [331.0, 192.0], [331.0, 259.0], [264.0, 259.0]]]",1.968531834638144,177.86898899437261,3.614230440469988,-0.009237785481992758
230,1,"[[[265.0, 193.0], [331.0, 192.0], [331.0, 259.0], [264.0, 259.0]]]",1.968531834638144,177.86898899437261,3.614230440469988,-0.009237785481992758
231,1,"[[[271.0, 192.0], [337.0, 193.0], [337.0, 259.0], [269.0, 259.0]]]",1.9689418466300594,177.5740248576444,0.661754888132666,0.4653774977868447
232,1,"[[[285.0, 191.0], [353.0, 191.0], [353.0, 258.0], [284.0, 258.0]]]",1.9317039353163628,175.46933067218288,-0.7983194940604414,-0.1604338407490244
233,1,"[[[291.0, 191.0], [359.0, 191.0], [359.0, 259.0], [290.0, 258.0]]]",1.9293088610721643,177.68394453233114,-0.5722325669171411,0.2229531463977024
234,1,"[[[296.0, 192.0], [365.0, 192.0], [365.0, 261.0], [295.0, 260.0]]]",1.8989731924147462,177.62763432000003,-0.5145063436435098,0.22321817183028458
235,1,"[[[302.0, 193.0], [372.0, 193.0], [372.0, 262.0], [301.0, 261.0]]]",1.8757879057465296,174.49370440368972,-2.2187682173702328,0.0003823040542431123
236,1,"[[[302.0, 193.0], [372.0, 193.0], [372.0, 262.0], [301.0, 261.0]]]",1.8757879057465296,174.49370440368972,-2.2187682173702328,0.0003823040542431123
237,1,"[[[302.0, 193.0], [372.0, 193.0], [372.0, 262.0], [301.0, 261.0]]]",1.8757879057465296,174.49370440368972,-2.2187682173702328,0.0003823040542431123
238,1,"[[[302.0, 193.0], [372.0, 193.0], [372.0, 262.0], [301.0, 261.0]]]",1.8757879057465296,174.49370440368972,-2.2187682173702328,0.0003823040542431123
239,1,"[[[302.0, 193.0], [372.0, 193.0], [372.0, 262.0], [301.0, 261.0]]]",1.8757879057465296,174.49370440368972,-2.2187682173702328,0.0003823040542431123
240,1,"[[[309.0, 192.0], [378.0, 192.0], [378.0, 262.0], [307.0, 261.0]]]",1.8679150197188894,177.34909994507476,2.003149796403819,0.5329376678452751
241,1,"[[[312.0, 193.0], [382.0, 193.0], [382.0, 264.0], [311.0, 262.0]]]",1.8645163716040338,-179.76867830897456,0.38382938261635613,0.6520414689878883
242,1,"[[[312.0, 193.0], [382.0, 193.0], [382.0, 264.0], [311.0, 262.0]]]",1.8645163716040338,-179.76867830897456,0.38382938261635613,0.6520414689878883
243,1,"[[[312.0, 193.0], [382.0, 193.0], [382.0, 264.0], [311.0, 262.0]]]",1.8645163716040338,-179.76867830897456,0.38382938261635613,0.6520414689878883
244,1,"[[[312.0, 193.0], [382.0, 193.0], [382.0, 264.0], [311.0, 262.0]]]",1.8645163716040338,-179.76867830897456,0.38382938261635613,0.6520414689878883
245,1,"[[[312.0, 193.0], [382.0, 193.0], [382.0, 264.0], [311.0, 262.0]]]",1.8645163716040338,-179.76867830897456,0.38382938261635613,0.6520414689878883
246,1,"[[[337.0, 190.0], [408.0, 190.0], [409.0, 261.0], [336.0, 260.0]]]",1.8226416079740382,175.29031580315976,-2.4083568633024144,-0.08777209845655297
247,1,"[[[337.0, 190.0], [408.0, 190.0], [409.0, 261.0], [336.0, 260.0]]]",1.8226416079740382,175.29031580315976,-2.4083568633024144,-0.08777209845655297
248,1,"[[[377.0, 184.0], [451.0, 184.0], [451.0, 254.0], [377.0, 253.0]]]",1.7683458463751116,167.8902899063106,-2.089708274156737,-0.0358577709351082
249,1,"[[[387.0, 184.0], [459.0, 183.0], [461.0, 254.0], [387.0, 253.0]]]",1.7867288384888136,170.58694508579285,-2.510549306034942,-0.5546670362008964
250,1,"[[[397.0, 183.0], [471.0, 183.0], [470.0, 253.0], [396.0, 251.0]]]",1.7641854487784143,166.66996441577544,-0.1046600886249736,0.6027918004442006
251,1,"[[[417.0, 182.0], [490.0, 181.0], [491.0, 251.0], [417.0, 250.0]]]",1.7728183941821822,167.37349458700487,-0.2943034764054073,-0.2268931719614324
252,1,"[[[425.0, 180.0], [497.0, 179.0], [498.0, 249.0], [424.0, 248.0]]]",1.783053402565196,168.1835476160311,1.127032967018959,-0.022709311279747364
253,1,"[[[429.0, 178.0], [501.0, 177.0], [502.0, 247.0], [429.0, 246.0]]]",1.7969930631740847,169.56131668381437,0.22299673108062615,-0.17052386535133587
254,1,"[[[435.0, 175.0], [507.0, 175.0], [507.0, 244.0], [435.0, 243.0]]]",1.8113831177316833,169.85299231766584,0.2014400919210985,0.26037250974238213
255,1,"[[[435.0, 175.0], [507.0, 175.0], [507.0, 244.0], [435.0, 243.0]]]",1.8113831177316833,169.85299231766584,0.2014400919210985,0.26037250974238213
256,1,"[[[435.0, 175.0], [507.0, 175.0], [507.0, 244.0], [435.0, 243.0]]]",1.8113831177316833,169.85299231766584,0.2014400919210985,0.26037250974238213
257,1,"[[[435.0, 175.0], [507.0, 175.0], [507.0, 244.0], [435.0, 243.0]]]",1.8113831177316833,169.85299231766584,0.2014400919210985,0.26037250974238213
258,1,"[[[435.0, 175.0], [507.0, 175.0], [507.0, 244.0], [435.0, 243.0]]]",1.8113831177316833,169.85299231766584,0.2014400919210985,0.26037250974238213
259,1,"[[[441.0, 174.0], [514.0, 173.0], [513.0, 242.0], [441.0, 240.0]]]",1.8010011387788536,166.90293417926134,1.870779060678887,0.46411400052849977
260,1,"[[[459.0, 167.0], [530.0, 168.0], [529.0, 236.0], [458.0, 234.0]]]",1.8387186408783374,169.979437831944,1.0689440046907672,1.1998450481518592
261,1,"[[[461.0, 167.0], [532.0, 168.0], [531.0, 236.0], [459.0, 234.0]]]",1.824882039703977,168.7055497552136,2.2856198554208853,1.3995207010202337
262,1,"[[[461.0, 167.0], [532.0, 168.0], [531.0, 235.0], [460.0, 233.0]]]",1.839243979178067,167.74752810535887,1.244810252587607,1.233961704211674
263,1,"[[[463.0, 165.0], [533.0, 166.0], [531.0, 234.0], [461.0, 231.0]]]",1.8654688001383342,171.2438413421614,2.629456195707478,1.8485090019083414
264,1,"[[[466.0, 163.0], [536.0, 165.0], [534.0, 232.0], [464.0, 229.0]]]",1.8656880675597014,170.01371875584516,1.2967344450746434,2.0754497933517895
265,1,"[[[467.0, 162.0], [537.0, 163.0], [536.0, 230.0], [465.0, 228.0]]]",1.8527417613115333,168.7854075021349,2.4751555471747695,1.4548790725248752
266,1,"[[[467.0, 162.0], [537.0, 163.0], [536.0, 230.0], [465.0, 228.0]]]",1.8527417613115333,168.7854075021349,2.4751555471747695,1.4548790725248752
267,1,"[[[467.0, 162.0], [537.0, 163.0], [536.0, 230.0], [465.0, 228.0]]]",1.8527417613115333,168.7854075021349,2.4751555471747695,1.4548790725248752
268,1,"[[[467.0, 162.0], [537.0, 163.0], [536.0, 230.0], [465.0, 228.0]]]",1.8527417613115333,168.7854075021349,2.4751555471747695,1.4548790725248752
269,1,"[[[467.0, 163.0], [537.0, 163.0], [536.0, 230.0], [465.0, 228.0]]]",1.8526918396439105,167.6862899396871,3.703775479082427,1.2266677445084149
270,1,"[[[467.0, 163.0], [537.0, 163.0], [536.0, 230.0], [465.0, 228.0]]]",1.8526918396439105,167.6862899396871,3.703775479082427,1.2266677445084149
271,1,"[[[468.0, 162.0], [538.0, 162.0], [537.0, 229.0], [466.0, 227.0]]]",1.8530936126430468,167.7270744114375,3.7373569528804516,1.2350152398320122
272,1,"[[[471.0, 162.0], [540.0, 163.0], [539.0, 229.0], [470.0, 228.0]]]",1.8948895603094087,171.23522448651855,2.3240461425429833,1.0720464455752083
273,1,"[[[472.0, 163.0], [540.0, 163.0], [540.0, 229.0], [471.0, 228.0]]]",1.9072320117248491,170.8631299180634,2.6030651514482535,0.6633381315358506
274,1,"[[[473.0, 164.0], [541.0, 164.0], [541.0, 230.0], [472.0, 229.0]]]",1.9070175340959277,170.83253372439196,2.6408365023441975,0.6671910541645691
275,1,"[[[477.0, 165.0], [546.0, 165.0], [546.0, 230.0], [477.0, 229.0]]]",1.8950339816063608,167.58149402491043,1.778935649525001,0.5170039825143602
276,1,"[[[480.0, 165.0], [549.0, 165.0], [549.0, 230.0], [480.0, 229.0]]]",1.8953669246245073,167.5881325120266,1.8941124571494066,0.5344967655424128
277,1,"[[[483.0, 166.0], [551.0, 165.0], [552.0, 230.0], [483.0, 230.0]]]",1.908467084266283,168.42597788214937,3.016749938011188,-0.11467903587004846
278,1,"[[[487.0, 166.0], [554.0, 166.0], [556.0, 230.0], [487.0, 230.0]]]",1.9189778046049664,167.95608343083472,0.7360392546155816,-0.04349749834197163
279,1,"[[[490.0, 167.0], [558.0, 166.0], [560.0, 230.0], [491.0, 231.0]]]",1.9084668285267528,167.23967797250071,2.0451615392841416,-0.6706552375532091
280,1,"[[[494.0, 168.0], [562.0, 167.0], [562.0, 232.0], [494.0, 231.0]]]",1.925261047847575,168.59186805923056,3.6569166223105243,0.36460288769301447
281,1,"[[[497.0, 169.0], [564.0, 167.0], [565.0, 232.0], [497.0, 231.0]]]",1.938504971821959,168.28133775712737,3.9424657710617548,-0.051875791626615805
282,1,"[[[500.0, 170.0], [568.0, 169.0], [568.0, 233.0], [501.0, 232.0]]]",1.9401049420772716,-148.718050247084,6.882993955687174,0.9917670468361403
283,1,"[[[500.0, 170.0], [568.0, 169.0], [568.0, 233.0], [501.0, 232.0]]]",1.9401049420772716,-148.718050247084,6.882993955687174,0.9917670468361403
284,1,"[[[500.0, 170.0], [568.0, 169.0], [568.0, 233.0], [501.0, 232.0]]]",1.9401049420772716,-148.718050247084,6.882993955687174,0.9917670468361403
285,1,"[[[500.0, 170.0], [568.0, 169.0], [568.0, 233.0], [501.0, 232.0]]]",1.9401049420772716,-148.718050247084,6.882993955687174,0.9917670468361403
286,1,"[[[500.0, 170.0], [568.0, 169.0], [568.0, 233.0], [501.0, 232.0]]]",1.9401049420772716,-148.718050247084,6.882993955687174,0.9917670468361403
287,1,"[[[503.0, 171.0], [571.0, 170.0], [572.0, 233.0], [504.0, 232.0]]]",1.9250382781419362,164.1532685854683,2.171883532139522,0.12063529657425877
288,1,"[[[529.0, 173.0], [596.0, 171.0], [598.0, 233.0], [530.0, 234.0]]]",1.9464878643242738,164.09788008355397,4.952657357838717,-0.696863612288382
289,1,"[[[529.0, 173.0], [596.0, 171.0], [598.0, 233.0], [530.0, 234.0]]]",1.9464878643242738,164.09788008355397,4.952657357838717,-0.696863612288382
290,1,"[[[529.0, 173.0], [596.0, 171.0], [598.0, 233.0], [530.0, 234.0]]]",1.9464878643242738,164.09788008355397,4.952657357838717,-0.696863612288382
291,1,"[[[529.0, 173.0], [596.0, 171.0], [598.0, 233.0], [530.0, 234.0]]]",1.9464878643242738,164.09788008355397,4.952657357838717,-0.696863612288382
292,1,"[[[529.0, 173.0], [596.0, 171.0], [598.0, 233.0], [530.0, 234.0]]]",1.9464878643242738,164.09788008355397,4.952657357838717,-0.696863612288382
293,1,"[[[535.0, 173.0], [603.0, 171.0], [605.0, 233.0], [536.0, 234.0]]]",1.9206505581667732,162.4453882307795,5.298593539418221,-0.6242424210283113
